t1,t2,t3,t4,t5,t6,nearest metro station distance(in km),type of road,nearest police chowki,average dist from police chowki,number of police chowki,population density,rape,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,sum,crm
0,1,0,0,0,0,8.2,expressway,4.6,14,2,2543243,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,13,major district road,13.3,6,5,1674714,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0.5,major district road,0.65,3,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,90.6,expressway,20.1,13,5,1674714,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,6.1,expressway,4.8,13,3,1674714,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0.141,major district road,45,7,4,2241624,237,492,171,46,47,224,50,0,191.6393
0,1,0,0,0,0,0.157,flyover,4.2,7,2,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,9.2,major district road,18.2,15,5,2241624,237,492,171,46,47,224,50,0,191.6393
0,1,0,0,0,0,1.2,major district road,0.7,15,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.7,major district road,1.5,4,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,3.5,major district road,1.1,13,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.6,major district road,2.5,3,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,3.2,major district road,14.8,3,4,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,1.1,major district road,4,6,5,3656539,165,404,109,23,61,208,51,0,155.3409
0,1,0,0,0,0,2,district road,2.5,10,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.3,district road,2,8,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.202,district road,0.5,13,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.472,district road,0.792,13,3,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,0.047,district road,0.23,14,5,582320,91,212,54,9,26,123,37,0,84.7858
